Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11,93.290001,93.629997,91.849998,91.949997,90.900589,4499200
2023-10-12,91.839996,92.250000,90.769997,91.419998,90.376633,5485200
2023-10-13,91.279999,92.059998,91.050003,91.480003,90.435959,4780100
2023-10-16,92.169998,93.860001,91.849998,93.650002,92.581192,4595900
2023-10-17,92.750000,94.190002,92.629997,94.180000,93.105141,6086700
2023-10-18,93.940002,94.529999,93.500000,93.750000,92.680046,4110700
2023-10-19,94.370003,95.660004,94.169998,94.419998,93.342400,5610800
2023-10-20,94.620003,95.089996,94.139999,94.190002,93.115028,4698000
2023-10-23,93.930000,95.029999,93.290001,94.199997,93.124908,4481000
2023-10-24,94.279999,94.980003,94.059998,94.620003,93.540123,3600200
2023-10-25,94.320000,95.360001,93.970001,94.000000,92.927193,5497300
2023-10-26,93.809998,94.480003,92.599998,92.669998,91.612366,6201700
2023-10-27,92.639999,93.730003,91.769997,92.019997,90.969788,8293600
2023-10-30,93.120003,93.709999,92.720001,93.150002,92.086899,7852700
2023-10-31,93.169998,93.320000,92.000000,92.239998,91.187271,9308300
2023-11-01,91.830002,91.860001,90.550003,91.349998,90.307434,14292500
2023-11-02,100.989998,101.919998,99.739998,100.010002,98.868607,23396300
2023-11-03,100.620003,103.769997,100.500000,102.650002,101.478470,15994400
2023-11-06,102.870003,104.089996,101.970001,104.029999,102.842720,7532000
2023-11-07,104.230003,104.389999,103.330002,103.680000,102.496719,6239500
2023-11-08,103.739998,104.820000,103.650002,104.300003,103.109642,7453000
2023-11-09,104.300003,104.459999,102.029999,102.230003,101.618614,7607000
2023-11-10,102.599998,104.349998,101.980003,104.330002,103.706055,7338500
2023-11-13,103.919998,104.230003,102.959999,103.510002,102.890961,7120800
2023-11-14,104.480003,105.820000,104.239998,105.599998,104.968460,8323000
2023-11-15,105.660004,106.540001,105.660004,106.029999,105.395889,7980200
2023-11-16,106.279999,107.660004,106.199997,107.209999,106.568832,8037200
2023-11-17,107.180000,107.500000,105.480003,105.570000,104.938637,6341800
2023-11-20,105.209999,105.470001,103.860001,104.300003,103.676239,9799500
2023-11-21,104.449997,104.680000,103.169998,103.690002,103.069885,6149000
2023-11-22,104.160004,104.680000,103.279999,103.440002,102.821381,4828700
2023-11-24,103.440002,103.599998,102.470001,102.779999,102.165321,3206400
2023-11-27,102.290001,103.089996,102.070000,102.360001,101.747841,7853600
2023-11-28,101.959999,102.050003,100.889999,101.180000,100.574898,6848100
2023-11-29,101.510002,101.690002,99.529999,99.849998,99.252846,8428500
2023-11-30,100.059998,100.120003,98.419998,99.300003,98.706139,11442600
2023-12-01,98.500000,99.279999,97.519997,99.199997,98.606735,12503900
2023-12-04,98.389999,98.879997,96.769997,97.599998,97.016304,11477400
2023-12-05,97.379997,97.480003,94.849998,95.540001,94.968628,16027300
2023-12-06,95.949997,97.169998,95.470001,97.019997,96.439766,12115000
2023-12-07,97.250000,97.699997,96.269997,96.440002,95.863243,7858300
2023-12-08,96.080002,96.860001,95.809998,96.610001,96.032227,7124400
2023-12-11,97.220001,99.010002,97.220001,98.120003,97.533195,7639100
2023-12-12,98.440002,98.599998,97.430000,98.150002,97.563019,6313800
2023-12-13,98.500000,98.639999,96.820000,98.110001,97.523254,7741900
2023-12-14,98.720001,98.790001,97.150002,97.839996,97.254868,9764800
2023-12-15,97.839996,98.239998,96.559998,96.750000,96.171387,12463800
2023-12-18,97.239998,97.320000,95.919998,96.559998,95.982521,6146400
2023-12-19,96.940002,98.050003,96.940002,97.720001,97.135590,5992900
2023-12-20,96.360001,96.879997,94.650002,94.709999,94.143585,10057400
2023-12-21,95.080002,95.440002,94.470001,95.330002,94.759880,7097200
2023-12-22,94.889999,95.830002,94.339996,95.279999,94.710175,6360400
2023-12-26,95.339996,95.690002,94.959999,95.669998,95.097847,3709500
2023-12-27,95.690002,95.779999,94.790001,95.290001,94.720123,4959300
2023-12-28,95.500000,95.970001,95.110001,95.930000,95.356293,4518300
2023-12-29,95.879997,96.349998,95.349998,96.010002,95.435814,6134000
